trade_date,code,side,shares,price,value,fee
20231030,512100.SH,BUY,100100,2.370474,237284.44740000003,71.18533422
20231031,512100.SH,SELL,50800,2.4065186,122251.14488,36.675343464
20231101,512100.SH,SELL,129900,2.4065186,312606.76614,93.782029842
20231102,512100.SH,SELL,143400,2.3965205999999997,343661.05403999996,103.09831621199997
20231103,512100.SH,SELL,78900,2.3785242,187665.55938000002,56.299667814
20231107,512100.SH,BUY,82400,2.4424884000000002,201261.04416000002,60.378313248
20231108,512100.SH,BUY,150600,2.455491,369796.9446,110.93908337999999
20231109,512100.SH,BUY,158900,2.4634926,391448.97414,117.434692242
20231110,512100.SH,SELL,106600,2.4465106000000003,260798.02996000004,78.23940898800001
20231113,512100.SH,SELL,151300,2.4565086,371669.75117999996,111.50092535399997
20231114,512100.SH,SELL,130100,2.4715056,321542.87856,96.46286356799999
20231115,512100.SH,BUY,89000,2.5055009999999998,222989.58899999998,66.89687669999999
20231116,512100.SH,BUY,138500,2.4874974,344518.3899,103.35551697
20231122,512100.SH,BUY,117500,2.4934985999999997,292986.0855,87.89582564999999
20231123,512100.SH,BUY,86600,2.470494,213944.7804,64.18343411999999
20231124,512100.SH,SELL,173100,2.4925014,431451.99234,129.435597702
20231127,512100.SH,SELL,117900,2.4605078,290093.86961999995,87.02816088599998
20231128,512100.SH,SELL,148000,2.4545090000000003,363267.33200000005,108.9801996
20231130,512100.SH,SELL,241200,2.459508,593233.3296,177.96999888
20231205,512100.SH,BUY,153400,2.4504900000000003,375905.166,112.7715498
20231206,512100.SH,BUY,177600,2.4124824,428456.87424000003,128.537062272
20231208,512100.SH,SELL,60900,2.4215156,147470.30004,44.241090011999994
20231211,512100.SH,SELL,270100,2.404519,649460.5819,194.83817456999998
20231214,512100.SH,BUY,120900,2.4374873999999997,294692.22666,88.407667998
20231215,512100.SH,BUY,152400,2.4224844,369186.62256,110.75598676799999
20231218,512100.SH,BUY,63700,2.3914782,152337.16134,45.701148401999994
20231219,512100.SH,SELL,103600,2.3625274,244757.83863999997,73.42735159199998
20231220,512100.SH,SELL,233400,2.3625274,551413.89516,165.42416854799998
20231228,512100.SH,BUY,74000,2.285457,169123.818,50.737145399999996
20231229,512100.SH,BUY,140700,2.3384676,329022.39132,98.70671739599999
20240102,512100.SH,BUY,162100,2.3714741999999998,384415.96781999996,115.32479034599997
20240103,512100.SH,BUY,203600,2.3494698,478352.05128,143.50561538399998
20240105,512100.SH,SELL,183700,2.3225354,426649.75298,127.99492589399999
20240108,512100.SH,SELL,396700,2.284543,906278.2081,271.88346243
20240112,512100.SH,BUY,62900,2.2514502,141616.21758,42.48486527399999
20240118,512100.SH,BUY,89000,2.1684336,192990.59040000002,57.89717712
20240119,512100.SH,BUY,95900,2.15043,206226.237,61.867871099999995
20240123,512100.SH,SELL,92500,2.0075984,185702.852,55.7108556
20240125,512100.SH,BUY,188500,2.070414,390273.039,117.08191169999999
20240126,512100.SH,BUY,330100,2.1424284,707215.61484,212.164684452
20240129,512100.SH,BUY,59900,2.1194238000000003,126953.48562000002,38.086045686000006
20240130,512100.SH,SELL,246700,2.04959,505633.85299999994,151.69015589999998
20240131,512100.SH,SELL,487100,2.0005998,974492.1625799999,292.34764877399994
20240208,512100.SH,BUY,122000,1.960392,239167.824,71.7503472
20240219,512100.SH,BUY,239300,2.0274054,485158.11222,145.547433666
20240220,512100.SH,BUY,160500,2.0024003999999995,321385.2641999999,96.41557925999997
20240221,512100.SH,BUY,169800,2.0124024,341705.92752,102.511778256
20240222,512100.SH,BUY,121600,2.0334065999999997,247262.24255999996,74.17867276799998
20240223,512100.SH,BUY,54700,2.0714142,113306.35674,33.991907022
20240226,512100.SH,BUY,75700,2.1024203999999997,159153.22428,47.745967283999995
20240227,512100.SH,BUY,65800,2.10042,138207.636,41.4622908
20240229,512100.SH,SELL,170200,2.0565886,350031.37972,105.009413916
20240301,512100.SH,SELL,75900,2.1475704,163000.59336000003,48.900178008000005
20240304,512100.SH,SELL,136100,2.1735652,295822.22372,88.746667116
20240305,512100.SH,BUY,56900,2.1664331999999997,123270.04907999998,36.98101472399999
20240306,512100.SH,SELL,155600,2.1555688,335406.50528000004,100.621951584
20240308,512100.SH,SELL,86000,2.1335732,183487.2952,55.04618855999999
20240313,512100.SH,BUY,59400,2.2084416,131181.43104,39.35442931199999
20240314,512100.SH,BUY,97700,2.2144428,216351.06156,64.90531846799999
20240315,512100.SH,SELL,138700,2.1955608000000004,304524.28296000004,91.35728488800001
20240319,512100.SH,BUY,127200,2.2664532,288292.84703999996,86.48785411199998
20240320,512100.SH,BUY,147600,2.2524504,332461.67903999996,99.73850371199998
