trade_date,nav,total_equity,stock_val,etf_val,cash,futures_margin,im_lots
20241126,1.2250589365642548,2695129.6604413604,0.0,2171755.2,523374.4604413603,0.0,0
20241127,1.2457863121740573,2740729.886782926,0.0,1908750.8,831979.0867829261,0.0,0
20241128,1.2409315660841542,2730049.4453851394,0.0,1898001.6,832047.8453851396,0.0,0
20241129,1.253345749375723,2757360.6486265906,0.0,1693008.0999999999,1064352.5486265908,0.0,0
20241202,1.2718139398521213,2797990.6676746667,0.0,2054020.4000000001,743970.2676746666,0.0,0
20241203,1.2686844063658207,2791105.6940048058,0.0,2408949.6999999997,382155.9940048058,0.0,0
20241204,1.2541390350658213,2759105.8771448066,0.0,2376918.3000000003,382187.5771448062,0.0,0
20241205,1.264906448292817,2782794.186244197,0.0,2158481.6,624312.5862441973,0.0,0
20241206,1.2749416461086045,2804871.62143893,0.0,2040006.0,764865.6214389297,0.0,0
20241209,1.2667039697607996,2786748.733473759,0.0,2021819.9,764928.8334737594,0.0,0
20241210,1.2753934466857806,2805865.5827087173,0.0,2138001.6,667863.9827087172,0.0,0
20241211,1.2867957894364874,2830950.736760272,0.0,2012996.4,817954.3367602724,0.0,0
20241212,1.2938192437691982,2846402.336292236,0.0,2028380.4,818021.9362922361,0.0,0
20241213,1.274470139479562,2803834.306855036,0.0,2175019.0,628815.306855036,0.0,0
20241216,1.2618727613919154,2776120.075062214,0.0,2147252.8,628867.275062214,0.0,0
20241217,1.243181856971944,2735000.085338277,0.0,1817316.5999999999,917683.485338277,0.0,0
20241218,1.2472574171125315,2743966.3176475693,0.0,1041534.6,1702431.7176475695,0.0,0
20241219,1.2478734056429577,2745321.492414507,0.0,911921.2,1833400.2924145071,0.0,0
20241220,1.2503764141072422,2750828.111035933,0.0,645661.7,2105166.4110359326,0.0,0
20241223,1.237991000916177,2723580.2020155895,0.0,964543.7999999999,1759036.4020155894,0.0,0
20241224,1.2408674194507674,2729908.322791688,0.0,541865.6,2188042.722791688,0.0,0
20241225,1.2384905239858082,2724679.152768778,0.0,536455.6,2188223.552768778,0.0,0
20241226,1.238077671060498,2723770.8763330956,0.0,0.0,2723770.8763330956,0.0,0
20241227,1.2384590820149475,2724609.9804328843,0.0,605691.2000000001,2118918.780432884,0.0,0
20241230,1.237789460985119,2723136.8141672616,0.0,491750.0,2231386.8141672616,0.0,0
20241231,1.2307205574093927,2707585.226300664,0.0,476014.0,2231571.226300664,0.0,0
20250102,1.2303566017856569,2706784.5239284453,0.0,0.0,2706784.5239284453,0.0,0
20250103,1.230458284149441,2707008.22512877,0.0,0.0,2707008.22512877,0.0,0
20250106,1.230559974916726,2707231.944816797,0.0,0.0,2707231.944816797,0.0,0
20250107,1.2313879206668668,2709053.425467107,0.0,112959.0,2596094.425467107,0.0,0
20250108,1.2309796666436144,2708155.2666159514,0.0,416808.7,2291346.5666159512,0.0,0
20250109,1.2333353545473085,2713337.7800040785,0.0,922060.7999999999,1791276.9800040787,0.0,0
