trade_date,nav_b0,nav_b1,nav_bh,equity_b0,equity_b1,cash_b0,cash_b1,etf_val_b0,etf_val_b1
20230207,1.0359001348744568,1.03440131694763,1.1028412015495812,2278980.296723805,2275682.897284786,1718993.896723805,1361351.6972847865,559986.3999999999,914331.2
20230208,1.0322940012905395,1.031595548040691,1.0952602019794613,2271046.802839187,2269510.2056895206,1201869.3028391872,1361464.2056895208,1069177.5,908046.0
20230209,1.041927587321986,1.039916692451123,1.1172052024093773,2292240.692108369,2287816.7233924703,1215920.692108369,1361576.7233924703,1076320.0,926239.9999999999
20230210,1.0395905481334293,1.0378627501792745,1.1116192028393281,2287099.2058935445,2283298.0503944037,1255722.0058935443,1361689.2503944035,1031377.2000000001,921608.8
20230213,1.0394616194242976,1.0398886116264991,1.1219932032693147,2286815.5627334546,2287754.945578298,1964841.5627334549,1663209.745578298,321974.0,624545.2
20230214,1.0400535725780258,1.0406009105511844,1.1243872036993372,2288117.8596716565,2289322.0032126056,1424682.6596716566,1547624.4032126055,863435.2000000001,741697.6
20230215,1.040040663892867,1.0405677861220994,1.1239882041293952,2288089.4605643074,2289249.129468619,1973148.8605643075,1761343.3294686186,314940.60000000003,527905.8
20230216,1.0337357842502155,1.0353579102107693,1.1040382045594885,2274218.725350474,2277787.4024636922,1521041.325350474,1641654.1024636924,753177.4,636133.2999999999
20230217,1.033526371037109,1.0351944502440067,1.0940632049896173,2273758.0162816397,2277427.790536815,2273758.0162816397,2277427.790536815,0.0,0.0
20230220,1.033611786439674,1.0352800035043574,1.1068312054197817,2273945.930167283,2277616.0077095865,2273945.930167283,2277616.0077095865,0.0,0.0
20230221,1.0336972089013634,1.0353655638352257,1.1120182058499817,2274133.8595829993,2277804.2404374965,2274133.8595829993,2277804.2404374965,0.0,0.0
20230222,1.03378263842276,1.0354511312371957,1.1152102062802174,2274321.804530072,2277992.4887218303,2274321.804530072,2277992.4887218303,0.0,0.0
20230223,1.0337094924043104,1.0355367057108515,1.1100232067104885,2274160.883289483,2278180.7525638733,2202941.6832894827,2278180.7525638733,71219.2,0.0
20230224,1.033612479134619,1.035622287256778,1.1060332071407948,2273947.4540961618,2278369.0319649116,2162790.2540961616,2278369.0319649116,111157.2,0.0
20230227,1.033210009111232,1.0355605499944462,1.0988512075711372,2273062.0200447105,2278233.209987782,2038696.6200447106,2160912.809987782,234365.4,117320.4
20230228,1.033242135494804,1.03561947078,1.1076292080015149,2273132.698088569,2278362.835716,2273132.698088569,2278362.835716,0.0,0.0
20230301,1.0333275274068285,1.0357050591660146,1.1156092084319282,2273320.5602950226,2278551.1301652323,2273320.5602950226,2278551.1301652323,0.0,0.0
20230302,1.0334129263760357,1.0357906546254498,1.1104222088623772,2273508.4380272785,2278739.4401759896,2273508.4380272785,2278739.4401759896,0.0,0.0
20230303,1.0331676694075553,1.0357106701256182,1.1088262092928616,2272968.872696622,2278563.47427636,1913366.272696622,2098484.27427636,359602.6,180079.19999999998
20230306,1.032994949451008,1.0356670137281363,1.1124172097233818,2272588.8887922177,2278467.4302018997,2272588.8887922177,2278467.4302018997,0.0,0.0
20230307,1.0330803209344337,1.0357526060433204,1.0924672101539374,2272776.7060557543,2278655.7332953047,2272776.7060557543,2278655.7332953047,0.0,0.0
20230308,1.033165699473354,1.0358382054322495,1.0956592105845286,2272964.538841379,2278844.051950949,2272964.538841379,2278844.051950949,0.0,0.0
20230309,1.0336121339684077,1.0361047045123277,1.0984522110151556,2273946.694730497,2279430.349927121,1868980.3947304972,2076534.249927121,404966.3,202896.1
