trade_date,code,asset_type,side,target_shares,order_shares,reason
20241111,512100.SH,ETF,SELL,812300,91000,timing
20241112,512100.SH,ETF,SELL,753300,59000,timing
20241113,512100.SH,ETF,SELL,575700,177600,timing
20241114,512100.SH,ETF,SELL,422800,152900,timing
20241115,512100.SH,ETF,SELL,0,422800,timing
20241118,512100.SH,ETF,BUY,86500,86500,timing
20241119,512100.SH,ETF,BUY,262300,175800,timing
20241120,512100.SH,ETF,BUY,466800,204500,timing
20241121,512100.SH,ETF,BUY,667000,200200,timing
20241122,512100.SH,ETF,BUY,793200,126200,timing
20241125,512100.SH,ETF,BUY,895200,102000,timing
20241127,512100.SH,ETF,SELL,767800,127400,timing
20241129,512100.SH,ETF,SELL,673700,94100,timing
20241202,512100.SH,ETF,BUY,801100,127400,timing
20241203,512100.SH,ETF,BUY,942100,141000,timing
20241205,512100.SH,ETF,SELL,845800,96300,timing
20241206,512100.SH,ETF,SELL,790700,55100,timing
20241210,512100.SH,ETF,BUY,827400,36700,timing
20241211,512100.SH,ETF,SELL,769200,58200,timing
20241213,512100.SH,ETF,BUY,841400,72200,timing
20241217,512100.SH,ETF,SELL,727800,113600,timing
20241218,512100.SH,ETF,SELL,413800,314000,timing
20241219,512100.SH,ETF,SELL,361300,52500,timing
20241220,512100.SH,ETF,SELL,253300,108000,timing
20241223,512100.SH,ETF,BUY,389400,136100,timing
20241224,512100.SH,ETF,SELL,216400,173000,timing
20241226,512100.SH,ETF,SELL,0,216400,timing
20241227,512100.SH,ETF,BUY,241600,241600,timing
20241230,512100.SH,ETF,SELL,196700,44900,timing
20250102,512100.SH,ETF,SELL,0,196700,timing
20250107,512100.SH,ETF,BUY,48900,48900,timing
20250108,512100.SH,ETF,BUY,181300,132400,timing
20250109,512100.SH,ETF,BUY,400200,218900,timing
20250110,512100.SH,ETF,BUY,702300,302100,timing
20250113,512100.SH,ETF,SELL,633000,69300,timing
20250114,512100.SH,ETF,SELL,426600,206400,timing
20250115,512100.SH,ETF,SELL,367100,59500,timing
20250116,512100.SH,ETF,BUY,504600,137500,timing
20250117,512100.SH,ETF,BUY,742500,237900,timing
20250120,512100.SH,ETF,SELL,610700,131800,timing
20250121,512100.SH,ETF,SELL,535400,75300,timing
20250122,512100.SH,ETF,SELL,387300,148100,timing
20250123,512100.SH,ETF,SELL,327900,59400,timing
20250124,512100.SH,ETF,SELL,188800,139100,timing
20250205,512100.SH,ETF,SELL,0,188800,timing
20250206,512100.SH,ETF,BUY,82800,82800,timing
20250207,512100.SH,ETF,BUY,227800,145000,timing
20250210,512100.SH,ETF,BUY,567300,339500,timing
20250211,512100.SH,ETF,BUY,838700,271400,timing
20250212,512100.SH,ETF,BUY,912200,73500,timing
20250214,512100.SH,ETF,SELL,730000,182200,timing
20250219,512100.SH,ETF,SELL,606100,123900,timing
20250224,512100.SH,ETF,BUY,750500,144400,timing
20250225,512100.SH,ETF,SELL,698100,52400,timing
20250226,512100.SH,ETF,SELL,542900,155200,timing
20250227,512100.SH,ETF,SELL,446100,96800,timing
20250228,512100.SH,ETF,SELL,392800,53300,timing
