period_start,period_end,period_label,trading_days,rf_period,mkt,smb,vmg,pmo,ret_512100_bh,ret_etf_scs_b1,ret_cs_a0_b1,ret_cs_a1_b1,ret_cs_b0
20231031,20231130,202311,22,0.0013636363636363635,0.0034223772724249995,0.04096842616976332,-0.027761042317805226,-0.031046136978386,0.01874219075385275,0.0028795157933927396,0.001772623936084905,0.015579072909270186,-0.0009193996467421472
20231130,20231229,202312,21,0.0013016528925619835,-0.01979896122160412,0.005944610982972533,0.012303780849115788,0.0082867001315809,-0.029435813573180702,-0.005775195385156584,-0.002163069943137419,-0.0017409124877354465,0.0010573606798256474
20231229,20240131,202401,22,0.0013636363636363635,-0.09434089489494288,-0.0503179554968248,0.11456775566604774,0.12851980030238352,-0.18660488626790228,-0.05927928940655758,-0.04383397295520264,-0.04388247002398671,-0.02894273016816551
20240131,20240229,202402,15,0.0009297520661157025,0.08966674410535255,-0.06741774058405559,-0.013186573940668508,-0.014244590441756369,0.11393060590367665,0.050676538024398976,0.12320029718723435,0.12306352125762099,0.15267771914528883
20240229,20240329,202403,21,0.0013016528925619835,0.014457452542353269,0.04400022670952134,-0.01045859147796048,-0.019762395721625893,0.01673640167364021,-0.012686046048466681,0.017861506415786987,0.01796652068530591,0.01957397027988983
20240329,20240430,202404,20,0.0012396694214876034,0.015213971805966061,-0.0408793809191919,0.049033473399206134,0.07885168208361551,0.009144947416552363,-0.0047548574639835195,-0.006832748922118492,-0.006486998715122483,-0.012599057864071228
20240430,20240531,202405,20,0.0012396694214876034,-0.013627530334104122,-0.004294316693005524,0.025510337723205163,0.016346525126689788,-0.022202084277299527,-0.00034460838895644663,-0.00564876452767038,-0.009289275089960247,-0.0016976914259637654
20240531,20240628,202406,19,0.001177685950413223,-0.05334685769379977,-0.027263909111423013,0.0067721989756289735,-0.005263315960713957,-0.08109360518999065,-0.009320945857863472,-0.015374675290737994,-0.015439631435652745,-0.02121834849499249
20240628,20240731,202407,23,0.0014256198347107438,-0.010470914924166309,0.010261926826655101,-0.027672849444910944,0.0026778971908440674,0.005042864346949116,0.022107595557122606,0.016480467808648314,0.016817750684377186,0.02224706489555861
20240731,20240830,202408,22,0.0013636363636363635,-0.03524452771514402,0.015262242884958852,0.005996392234639075,0.026496936002001863,-0.05569493226292033,-0.025281167520394776,-0.026689885530303603,-0.026319326899045925,-0.02465259632327288
20240830,20240930,202409,19,0.001177685950413223,0.19848781863948184,0.0056170365877152295,-0.03105285116316725,-0.05179295655941096,0.269394261424017,0.22055642278780496,0.1417393473921167,0.14182292324256873,0.16737369835363114
20240930,20241031,202410,18,0.001115702479338843,-0.0006654831140837598,0.05268674003903953,-0.11737174984069683,-0.13372492982458825,0.039347007115948296,-0.00929513977271923,0.046012302301207564,0.04988885675545118,0.05211755378018501
20241031,20241129,202411,21,0.0013016528925619835,0.01232408923912088,0.050895008621280304,0.008787564791252325,0.036580937126015255,0.012082158679017185,0.02576274138905954,0.05494259686144898,0.052670162310520796,0.0462454547229878
20241129,20241231,202412,22,0.0013636363636363635,-0.006774154560274183,-0.01552306261245675,0.0316865844676067,0.05383847531045235,-0.03700756068444089,-0.018051836037740854,-0.014380129378290252,-0.013568796262866556,-0.019063395563854724
20241231,20250127,202501,18,0.001115702479338843,-0.027858088495733273,0.004678060077176513,-0.011423492235405341,0.0017139773139244092,-0.034710743801652955,0.007749555722008861,-0.0042416294489386885,-0.0036083180395927172,-0.016874659471906694
20250127,20250228,202502,18,0.001115702479338843,0.03358429711430968,0.029549032892149697,-0.06992511656555045,-0.08419831412728196,0.07491438356164393,0.02365776469984282,0.03901288292076077,0.03810071936519299,0.044473795970272345
20250228,20250331,202503,21,0.0013016528925619835,-2.6928906622954513e-05,0.007782960155790849,0.03493276247384563,0.06409452152711284,-0.007566706491437758,-0.013109444715063479,-0.008103368901614671,-0.007346104456052549,-0.006620431428093654
20250331,20250430,202504,21,0.0013016528925619835,-0.027461835840192572,0.011146278043792288,-0.002692206642731884,0.02599261007499295,-0.04454253611556991,0.012168705950784231,0.0071316407071087,0.006760319724080643,0.017166313140973166
20250430,20250530,202505,19,0.001177685950413223,0.021288215356671206,0.03540001939220841,0.0060758821081021465,0.014725545348860617,0.01763964720705591,-0.006045553250627056,0.1720170293627672,0.1677133391204102,0.18248460890183948
20250530,20250630,202506,20,0.0012396694214876034,0.03043269279618079,0.01667986541984255,-0.04097616857794957,-0.028369680568662705,0.057366900536524934,0.017965639756283514,0.01767508810673024,0.015518838692893056,0.011342728293479487
20250630,20250731,202507,23,0.0014256198347107438,0.035118947838148964,-0.006395557514680544,0.0017547008585133209,0.01883630893345486,0.051912568306010876,0.026992978461948258,0.01366987626363847,0.013667615466523841,0.014398838433020922
20250731,20250829,202508,21,0.0013016528925619835,0.09391096485314226,-0.023927269300544562,-0.05716563860428349,-0.048402957173351954,0.11539888682745825,0.03653368832975268,0.03983647963099446,0.03957575707779548,0.028519062785624216
20250829,20250930,202509,22,0.0013636363636363635,0.015540291385333563,-0.0239326173380925,0.006980282289332119,-0.0037512567534283975,0.01896207584830356,-0.013128257279270916,-0.010425270314754487,-0.01460354600087721,-0.009172782648059319
20250930,20251031,202510,17,0.0010537190082644627,0.010181915480372596,0.013514265650044193,0.03630280499339921,0.04031834047475864,-0.008488410055501272,0.005086374221341838,0.005279548013837232,0.0051949905853367895,-6.237214832927052e-05
20251031,20251128,202511,20,0.0012396694214876034,-0.019744840785511763,0.02773339581482283,0.005347634948350952,0.004776780082703642,-0.023049061573921614,-0.01193921316971891,-0.016897747680764796,-0.02437641168809157,-0.01683194325574422
20251128,20251231,202512,23,0.0014256198347107438,0.025304765974915603,-0.02500282331367119,-0.032261517377601065,-0.022221928607867637,0.037748567576676884,0.007016498911579516,-0.0167629203519557,-0.015036910387795421,-0.019278987676508375
20251231,20260130,202601,20,0.0012396694214876034,0.044381019323231165,-0.0040938457085803875,-0.020594130100058713,-0.017728175241148475,0.07534913933095155,0.03998848810423605,0.02886572396194853,0.029206862416661927,0.035445486490837785
20260130,20260227,202602,14,0.0008677685950413223,0.017185959823571392,0.0032230765234415384,-0.010386898821355899,-0.03391730917726604,0.036242826940501294,0.001065678464104547,0.0019138226196240282,0.0018937933481604219,0.0015451226193048395
20260227,20260331,202603,22,0.0013636363636363635,-0.07175455492535526,0.003469975874212175,0.05542218741012739,0.04973455883323402,-0.1107548819586126,-0.01843171908785346,-0.010273668353251386,-0.010299776016918116,-0.011518282386979384
20260331,20260430,202604,21,0.0013016528925619835,0.06995016102128197,-0.006290691865843134,-0.07808634782352485,-0.05529246996758323,0.1019337921992789,0.01852501949784724,-0.000796702270008387,-0.0008082466015875145,-0.0002538007821298871
20260430,20260529,202605,18,0.001115702479338843,-0.011702554504484632,-0.02843771213714781,-0.05179382848853043,-0.07158702925307857,0.006246281975014867,-0.0016914294463709068,6.311059812813546e-05,0.0018209380017670806,0.004619512418918559
20260529,20260630,202606,21,0.0013016528925619835,-0.002599205554943012,-0.06401094751904231,-0.13272104595106085,-0.14891309616763873,0.05734555128584096,0.002919908079204836,0.001718386336192479,0.001717807999660259,0.0017156238330007234
20260630,20260731,202607,23,0.0014256198347107438,-0.09588270765833122,0.05885554879094206,0.3113823464231392,0.3671772040921331,-0.199329046687168,-0.005345036387275459,0.0018822326879357476,0.0018816002939474608,0.0004794850759606284
20260731,20260806,202608,4,0.00024793388429752067,0.02808948738949191,0.014499413707499902,-0.09049147097800264,-0.09216935349491259,0.06459497206703912,0.01847145209856338,0.019040149425801012,0.018355140505161627,0.035766954434527154
