trade_date,A0,A1,A2,A3,A4,B1,B2,BENCH
20230830,1.112215,1.112215,1.050548,1.046253,1.020713,1.147828,1.158554,1.090289
20230831,1.109262,1.109262,1.044939,1.038302,1.019201,1.147840,1.155688,1.085508
20230901,1.102434,1.102434,1.039124,1.034529,1.013898,1.164245,1.161535,1.087423
20230904,1.114905,1.114905,1.052876,1.050091,1.027186,1.172160,1.161024,1.103598
20230905,1.109040,1.109040,1.049266,1.045523,1.020419,1.195779,1.188215,1.098200
20230906,1.116884,1.116884,1.058747,1.053361,1.026774,1.215729,1.213795,1.103693
20230907,1.099204,1.099204,1.041886,1.036880,1.010600,1.215931,1.208727,1.085312
20230908,1.101887,1.101887,1.046367,1.040390,1.012631,1.224593,1.223261,1.088301
20230911,1.113175,1.113175,1.056377,1.050324,1.024213,1.234770,1.234049,1.097991
20230912,1.113831,1.113831,1.057059,1.051818,1.025709,1.237071,1.234875,1.096928
20230913,1.104653,1.104653,1.048324,1.044436,1.020344,1.221207,1.230931,1.085319
20230914,1.093727,1.093727,1.038375,1.034759,1.009330,1.235987,1.251328,1.077022
20230915,1.094210,1.094210,1.037818,1.035430,1.008545,1.241180,1.251504,1.078808
20230918,1.103741,1.103741,1.043436,1.040859,1.014678,1.243254,1.253789,1.085951
20230919,1.092877,1.092877,1.030112,1.028387,1.001311,1.245161,1.257258,1.075564
20230920,1.085352,1.085352,1.023295,1.021945,0.994061,1.252444,1.253980,1.068110
20230921,1.076034,1.076034,1.018414,1.016286,0.985194,1.257249,1.261191,1.060885
20230922,1.097335,1.097335,1.038780,1.034468,1.004109,1.253343,1.249718,1.080257
20230925,1.091613,1.091613,1.031285,1.026383,0.996105,1.255555,1.250981,1.075542
20230926,1.084798,1.084798,1.024065,1.018857,0.991903,1.264265,1.244401,1.071043
20230927,1.091845,1.091845,1.028056,1.024605,0.999791,1.274511,1.255866,1.075337
20230928,1.102442,1.102442,1.039867,1.034213,1.009459,1.288159,1.266436,1.085995
20231009,1.085116,1.085116,1.026333,1.020427,0.993932,1.228115,1.225386,1.080879
20231010,1.083795,1.083795,1.025573,1.019450,0.994288,1.227067,1.222462,1.077787
20231011,1.086473,1.086473,1.028900,1.022115,0.998879,1.213550,1.215388,1.080370
20231012,1.093895,1.093895,1.037527,1.029954,1.007734,1.235676,1.230928,1.086034
20231013,1.084869,1.084869,1.032212,1.024004,1.004369,1.209569,1.204482,1.078874
20231016,1.077656,1.077656,1.027382,1.019382,1.000283,1.215700,1.213875,1.072166
20231017,1.079945,1.079945,1.027746,1.020033,1.006495,1.227009,1.227914,1.070697
20231018,1.059835,1.059835,1.007400,1.000129,0.988392,1.216731,1.228089,1.051636
20231019,1.050880,1.050880,0.999213,0.992383,0.976241,1.250540,1.258641,1.042213
20231020,1.038667,1.038667,0.987550,0.981816,0.961641,1.274177,1.277519,1.032841
20231023,1.010390,1.010390,0.961655,0.956620,0.942573,1.266218,1.274409,1.008313
20231024,1.045808,1.045808,0.988375,0.983561,0.967771,1.254858,1.255651,1.032353
20231025,1.062785,1.062785,1.003237,0.998978,0.982107,1.235888,1.241470,1.046619
20231026,1.061913,1.061913,1.004500,1.000175,0.982791,1.243028,1.246183,1.049898
20231027,1.074794,1.074794,1.017747,1.013146,0.998197,1.257436,1.257752,1.068112
20231030,1.099458,1.099458,1.044326,1.037767,1.022809,1.256029,1.251108,1.081475
20231031,1.096616,1.096616,1.038312,1.032678,1.016547,1.269560,1.262658,1.077577
20231101,1.097038,1.097038,1.036317,1.030907,1.015949,1.286219,1.274302,1.079801
20231102,1.085450,1.085450,1.025691,1.020708,1.002545,1.316904,1.301093,1.069495
20231103,1.101724,1.101724,1.042557,1.036069,1.022566,1.332142,1.310088,1.084558
20231106,1.121868,1.121868,1.066066,1.058528,1.049603,1.319076,1.292389,1.106118
20231107,1.124672,1.124672,1.071072,1.062686,1.057319,1.306109,1.281260,1.112277
20231108,1.121754,1.121754,1.067790,1.059805,1.054787,1.277330,1.251297,1.115932
20231109,1.120628,1.120628,1.065879,1.056896,1.050912,1.309437,1.273046,1.109735
20231110,1.118526,1.118526,1.061316,1.052562,1.046875,1.319260,1.283037,1.108091
20231113,1.130055,1.130055,1.071496,1.062807,1.060004,1.310245,1.276051,1.119511
20231114,1.136586,1.136586,1.076647,1.067791,1.066534,1.291873,1.254186,1.126051
20231115,1.141767,1.141767,1.080908,1.071942,1.068898,1.287816,1.253290,1.133238
20231116,1.130295,1.130295,1.071495,1.062692,1.061266,1.282331,1.246832,1.124735
20231117,1.142864,1.142864,1.082488,1.073132,1.071875,1.297523,1.255470,1.133798
20231120,1.155958,1.155958,1.093067,1.084147,1.082282,1.295551,1.250249,1.146348
20231121,1.148114,1.148114,1.087592,1.079168,1.076290,1.313172,1.265105,1.144150
20231122,1.140211,1.140211,1.078208,1.070130,1.066954,1.319254,1.272081,1.139755
20231123,1.159283,1.159283,1.095584,1.086267,1.084980,1.326635,1.274945,1.149851
20231124,1.143415,1.143415,1.081615,1.073098,1.068494,1.331543,1.278965,1.142835
20231127,1.146957,1.146957,1.083770,1.074381,1.071758,1.346072,1.292506,1.151330
20231128,1.157829,1.157829,1.091613,1.082020,1.077052,1.366887,1.314297,1.158201
20231129,1.152582,1.152582,1.087459,1.078547,1.067780,1.380036,1.316124,1.147428
20231130,1.143277,1.143277,1.079881,1.071053,1.060148,1.373130,1.309270,1.140921
20231201,1.143929,1.143929,1.084153,1.074805,1.063146,1.335440,1.278900,1.145226
20231204,1.149244,1.149244,1.087533,1.078229,1.064503,1.324964,1.275611,1.145272
20231205,1.132017,1.132017,1.070484,1.062680,1.045272,1.310593,1.265733,1.131581
20231206,1.148190,1.148190,1.084898,1.076778,1.056958,1.302938,1.264468,1.136995
20231207,1.152986,1.152986,1.091258,1.081795,1.061970,1.318266,1.285955,1.135752
20231208,1.131019,1.131019,1.069034,1.058812,1.043729,1.320677,1.290998,1.127701
20231211,1.141192,1.141192,1.084824,1.073518,1.057315,1.304049,1.276937,1.137524
20231212,1.148265,1.148265,1.091783,1.081877,1.065049,1.302215,1.273423,1.144062
20231213,1.142417,1.142417,1.087799,1.078778,1.057977,1.305750,1.271458,1.139756
20231214,1.139978,1.139978,1.083436,1.074960,1.056247,1.323975,1.292036,1.138483
20231215,1.144989,1.144989,1.081006,1.072060,1.055436,1.331544,1.305237,1.134525
20231218,1.130957,1.130957,1.063616,1.055751,1.042145,1.316764,1.292668,1.121947
20231219,1.133882,1.133882,1.065757,1.056892,1.043002,1.314295,1.289187,1.123934
20231220,1.121840,1.121840,1.051884,1.044181,1.030192,1.318542,1.291908,1.115490
20231221,1.122585,1.122585,1.056660,1.048981,1.036629,1.305340,1.282608,1.117483
20231222,1.098960,1.098960,1.036388,1.029885,1.017805,1.325543,1.297456,1.104794
