trade_date,nav,daily_ret,nav_long,nav_short,long_ret,short_ret
20240111,1.357291,-0.003158,1.104610,1.321903,0.017244,-0.020402
20240112,1.389982,0.024086,1.091558,1.369362,-0.011817,0.035902
20240115,1.376854,-0.009445,1.089227,1.359353,-0.002136,-0.007309
20240116,1.369317,-0.005474,1.082100,1.360806,-0.006543,0.001068
20240117,1.372181,0.002091,1.058315,1.393562,-0.021980,0.024072
20240118,1.355206,-0.012371,1.046461,1.391932,-0.011201,-0.001170
20240119,1.386184,0.022859,1.042946,1.428426,-0.003359,0.026218
20240122,1.367575,-0.013425,0.981160,1.493872,-0.059242,0.045817
20240123,1.384383,0.012290,0.985851,1.505089,0.004781,0.007509
20240124,1.386347,0.001419,1.002913,1.481178,0.017306,-0.015887
20240125,1.406747,0.014715,1.045774,1.439672,0.042737,-0.028022
20240126,1.424180,0.012392,1.048412,1.453881,0.002523,0.009869
20240129,1.454145,0.021040,1.017492,1.527350,-0.029493,0.050533
20240130,1.474569,0.014045,0.978969,1.606627,-0.037860,0.051905
20240131,1.493493,0.012834,0.939752,1.691607,-0.040059,0.052893
20240201,1.433627,-0.040084,0.919479,1.677537,-0.021573,-0.008318
20240202,1.423245,-0.007242,0.870870,1.754074,-0.052866,0.045625
20240205,1.413323,-0.006972,0.784210,1.916391,-0.099509,0.092538
20240206,1.417877,0.003222,0.793082,1.900886,0.011313,-0.008091
20240207,1.452749,0.024595,0.782889,1.972069,-0.012853,0.037447
20240208,1.505347,0.036206,0.855284,1.861108,0.092472,-0.056266
20240219,1.444426,-0.040469,0.882336,1.726925,0.031629,-0.072098
20240220,1.432854,-0.008011,0.893498,1.691243,0.012651,-0.020662
20240221,1.439492,0.004633,0.913029,1.662110,0.021858,-0.017226
20240222,1.422841,-0.011568,0.935039,1.602815,0.024107,-0.035674
20240223,1.410243,-0.008854,0.966258,1.535108,0.033389,-0.042242
20240226,1.415367,0.003633,0.985323,1.510398,0.019730,-0.016097
20240227,1.388776,-0.018787,1.006004,1.450320,0.020989,-0.039776
20240228,1.371660,-0.012324,0.932310,1.538688,-0.073254,0.060930
20240229,1.362386,-0.006762,0.962793,1.477974,0.032697,-0.039458
20240301,1.351841,-0.007740,0.973288,1.464532,0.010901,-0.009095
20240304,1.342538,-0.006882,0.975422,1.451243,0.002193,-0.009074
20240305,1.334154,-0.006245,0.958582,1.467234,-0.017264,0.011019
20240306,1.328072,-0.004559,0.968787,1.444926,0.010645,-0.015204
20240307,1.359818,0.023904,0.964999,1.485115,-0.003910,0.027814
20240308,1.346926,-0.009481,0.971512,1.461011,0.006750,-0.016230
20240311,1.352778,0.004345,0.990023,1.439521,0.019054,-0.014709
20240312,1.356216,0.002542,0.999279,1.429722,0.009349,-0.006807
20240313,1.357079,0.000636,1.003264,1.424929,0.003989,-0.003352
20240314,1.349871,-0.005311,0.995137,1.428904,-0.008101,0.002789
20240315,1.353018,0.002331,1.012757,1.406934,0.017707,-0.015375
20240318,1.339770,-0.009792,1.027693,1.372410,0.014747,-0.024539
20240319,1.351459,0.008724,1.028195,1.383713,0.000489,0.008236
20240320,1.350588,-0.000644,1.039618,1.367448,0.011110,-0.011755
20240321,1.344544,-0.004475,1.042905,1.357005,0.003162,-0.007636
20240322,1.352015,0.005556,1.033598,1.376655,-0.008924,0.014480
20240325,1.380061,0.020744,1.012183,1.433735,-0.020719,0.041463
20240326,1.388783,0.006320,1.007718,1.449121,-0.004411,0.010731
20240327,1.419447,0.022080,0.976144,1.526522,-0.031332,0.053412
20240328,1.419058,-0.000274,1.002276,1.485238,0.026770,-0.027045
20240329,1.423802,0.003343,1.015282,1.470928,0.012977,-0.009634
20240401,1.418154,-0.003967,1.036934,1.448131,0.021326,-0.015498
20240402,1.443275,0.017714,1.031071,1.481971,-0.005654,0.023368
20240403,1.494335,0.035378,1.022748,1.546363,-0.008072,0.043450
20240408,1.506584,0.008197,0.992779,1.604352,-0.029303,0.037500
20240409,1.536982,0.020177,1.007059,1.613645,0.014384,0.005792
20240410,1.516116,-0.013576,0.983385,1.629672,-0.023509,0.009932
20240411,1.564862,0.032152,0.985984,1.677762,0.002643,0.029509
20240412,1.564957,0.000061,0.976183,1.694541,-0.009940,0.010001
20240415,1.590026,0.016019,0.942314,1.780479,-0.034696,0.050715
20240416,1.638945,0.030766,0.889098,1.935806,-0.056473,0.087239
20240417,1.556192,-0.050492,0.939899,1.727458,0.057137,-0.107629
20240418,1.536498,-0.012655,0.940453,1.704578,0.000590,-0.013245
20240419,1.492830,-0.028420,0.926046,1.682246,-0.015319,-0.013101
20240422,1.573493,0.054034,0.927572,1.770372,0.001648,0.052386
20240423,1.556079,-0.011067,0.938070,1.730743,0.011318,-0.022385
20240424,1.489524,-0.042771,0.955602,1.624370,0.018690,-0.061461
20240425,1.469962,-0.013133,0.959279,1.596786,0.003848,-0.016981
20240426,1.471617,0.001126,0.976389,1.570103,0.017836,-0.016710
20240429,1.464559,-0.004796,0.999985,1.524630,0.024166,-0.028962
20240430,1.504946,0.027576,0.997087,1.571091,-0.002898,0.030474
20240506,1.452608,-0.034777,1.016476,1.500128,0.019446,-0.045168
20240507,1.424778,-0.019159,1.023773,1.460618,0.007179,-0.026338
20240508,1.409384,-0.010805,1.005993,1.470204,-0.017367,0.006563
20240509,1.413589,0.002984,1.019288,1.455161,0.013216,-0.010231
20240510,1.449012,0.025059,1.012880,1.500774,-0.006287,0.031346
20240513,1.456862,0.005417,0.991575,1.540472,-0.021034,0.026452
